Autoscaler,Minute,MeanReplicas,StdReplicas,MinReplicas,MaxReplicas,Runs
queue-CDT300,61,22.657142857142855,0.9772932215135463,22.0,24.285714285714285,5
queue-CDT300,62,21.482142857142854,1.1641432866433303,20.142857142857142,23.25,5
queue-CDT300,63,20.428571428571427,1.5084794344244912,19.0,23.0,5
queue-CDT300,64,20.4,1.51657508881031,19.0,23.0,5
queue-CDT300,65,19.560714285714287,1.417456762469102,18.285714285714285,22.0,5
queue-CDT300,66,18.667857142857144,1.6440019303330444,17.5,21.571428571428573,5
queue-CDT300,67,18.1,0.8944271909999162,17.0,19.5,5
queue-CDT300,68,18.0,0.7071067811865476,17.0,19.0,5
queue-CDT300,69,18.0,0.7071067811865476,17.0,19.0,5
queue-CDT300,70,17.485714285714288,0.9249931053245534,16.5,19.0,5
queue-CDT300,71,16.692857142857143,1.245873290147132,15.75,18.875,5
hpa80-CDT120,0,11.0,0.0,11.0,11.0,5
hpa80-CDT120,1,11.0,0.0,11.0,11.0,5
hpa80-CDT120,2,11.0,0.0,11.0,11.0,5
hpa80-CDT120,3,11.0,0.0,11.0,11.0,5
hpa80-CDT120,4,11.0,0.0,11.0,11.0,5
hpa80-CDT120,5,11.0,0.0,11.0,11.0,5
hpa80-CDT120,6,11.0,0.0,11.0,11.0,5
hpa80-CDT120,7,11.0,0.0,11.0,11.0,5
hpa80-CDT120,8,11.0,0.0,11.0,11.0,5
hpa80-CDT120,9,11.0,0.0,11.0,11.0,5
hpa80-CDT120,10,11.0,0.0,11.0,11.0,5
hpa80-CDT120,11,11.0,0.0,11.0,11.0,5
hpa80-CDT120,12,11.0,0.0,11.0,11.0,5
hpa80-CDT120,13,11.0,0.0,11.0,11.0,5
hpa80-CDT120,14,11.0,0.0,11.0,11.0,5
hpa80-CDT120,15,11.0,0.0,11.0,11.0,5
hpa80-CDT120,16,11.0,0.0,11.0,11.0,5
hpa80-CDT120,17,11.0,0.0,11.0,11.0,5
hpa80-CDT120,18,11.0,0.0,11.0,11.0,5
hpa80-CDT120,19,11.0,0.0,11.0,11.0,5
hpa80-CDT120,20,11.0,0.0,11.0,11.0,5
