Method,DisplayName,Minute,MeanLatency_ms,StdLatency_ms,MeanCumulativeSLOViolationRate_percent,StdCumulativeSLOViolationRate_percent,Runs
queue-CDT120,Queue-CDT120,62,434.0,38.470768123342694,4.39184523809524,0.37244354892679654,5
queue-CDT120,Queue-CDT120,63,430.0,38.078865529319536,4.36106601731602,0.3660528056601778,5
queue-CDT120,Queue-CDT120,64,434.0,39.74921382870358,4.38970080994275,0.3928823749501864,5
queue-CDT120,Queue-CDT120,65,434.0,39.74921382870358,4.396958874458878,0.3802921706792371,5
queue-CDT120,Queue-CDT120,66,438.0,40.24922359499621,4.436452762923353,0.3741733707893711,5
queue-CDT120,Queue-CDT120,67,440.0,40.620192023179804,4.459180035650627,0.37451156438969285,5
queue-CDT120,Queue-CDT120,68,438.0,38.98717737923585,4.4478278584160975,0.3591039332661757,5
queue-CDT120,Queue-CDT120,69,438.0,31.14482300479488,4.438814935064936,0.30469802108820543,5
queue-CDT120,Queue-CDT120,70,436.0,32.093613071762434,4.422894385026739,0.30865844380597524,5
queue-CDT120,Queue-CDT120,71,436.0,32.093613071762434,4.422894385026739,0.30865844380597524,5
queue-CDT300,Queue-CDT300,0,356.0,55.49774770204643,3.5547201578471688,0.4316013109646437,5
queue-CDT300,Queue-CDT300,1,312.0,27.748873851023216,3.0597182637182674,0.47145555415818735,5
queue-CDT300,Queue-CDT300,2,350.0,23.452078799117153,3.381724465148379,0.4205279084352336,5
queue-CDT300,Queue-CDT300,3,558.0,35.63705936241092,6.520317337461302,0.7360103495955882,5
queue-CDT300,Queue-CDT300,4,530.0,60.41522986797285,5.9064705882352975,1.3079183915792074,5
queue-CDT300,Queue-CDT300,5,502.0,48.16637831516918,5.24697036709421,0.8617482371860392,5
queue-CDT300,Queue-CDT300,6,534.0,47.74934554525328,5.891729797979799,0.9623556993908384,5
queue-CDT300,Queue-CDT300,7,482.0,52.153619241621186,5.015794324520984,0.8348482720300338,5
queue-CDT300,Queue-CDT300,8,430.0,42.42640687119286,4.364252346948971,0.4181502126370397,5
queue-CDT300,Queue-CDT300,9,390.0,18.70828693386971,3.9822936432637612,0.16864355357437438,5
queue-CDT300,Queue-CDT300,10,368.0,16.43167672515499,3.658730158730161,0.2159371986752859,5
queue-CDT300,Queue-CDT300,11,362.0,19.23538406167135,3.612007206226275,0.2864938148526432,5
queue-CDT300,Queue-CDT300,12,354.0,16.733200530681508,3.5212413343670312,0.23349084828643926,5
queue-CDT300,Queue-CDT300,13,344.0,11.40175425099138,3.345574081091325,0.18842398043319755,5
queue-CDT300,Queue-CDT300,14,344.0,16.73320053068151,3.340204354044178,0.25918661219229033,5
queue-CDT300,Queue-CDT300,15,348.0,14.832396974191328,3.4424007936507968,0.2030485652360556,5
queue-CDT300,Queue-CDT300,16,370.0,35.35533905932738,3.699395743145746,0.40481851722808776,5
queue-CDT300,Queue-CDT300,17,388.0,29.49576240750525,3.876495056667475,0.39213079511557475,5
queue-CDT300,Queue-CDT300,18,388.0,28.635642126552707,3.8618818681318716,0.38868927001120823,5
queue-CDT300,Queue-CDT300,19,380.0,30.822070014844883,3.7428347996089983,0.4197016477966114,5
queue-CDT300,Queue-CDT300,20,374.0,23.02172886644268,3.7104862879056455,0.32485805741012785,5
queue-CDT300,Queue-CDT300,21,368.0,25.88435821108957,3.6080556570792988,0.38207025396364297,5
queue-CDT300,Queue-CDT300,22,370.0,25.495097567963924,3.640024396855521,0.43049968293273716,5
queue-CDT300,Queue-CDT300,23,420.0,60.41522986797286,4.197684210526321,0.7531460883991349,5
queue-CDT300,Queue-CDT300,24,422.0,58.05170109479997,4.24618421052632,0.6987102904241504,5
queue-CDT300,Queue-CDT300,25,428.0,49.193495504995376,4.27164958886781,0.5796436726540221,5
queue-CDT300,Queue-CDT300,26,430.0,52.91502622129182,4.316724716202276,0.6876953397579739,5
queue-CDT300,Queue-CDT300,27,420.0,46.36809247747852,4.19439167284329,0.5527100972585678,5
queue-CDT300,Queue-CDT300,28,416.0,46.69047011971501,4.157489118691158,0.5500796831648908,5
queue-CDT300,Queue-CDT300,29,410.0,44.721359549995796,4.094021484618262,0.5538538019579423,5
queue-CDT300,Queue-CDT300,30,406.0,40.3732584763727,4.049027821939591,0.5194602837390242,5
queue-CDT300,Queue-CDT300,31,406.0,36.46916505762094,4.07271391635319,0.45259980069226186,5
queue-CDT300,Queue-CDT300,32,412.0,36.3318042491699,4.142260442260446,0.44605795223983585,5
queue-CDT300,Queue-CDT300,33,422.0,43.243496620879306,4.25537171806522,0.4665148228445737,5
queue-CDT300,Queue-CDT300,34,424.0,36.46916505762094,4.283781554198982,0.388720598460656,5
queue-CDT300,Queue-CDT300,35,424.0,36.46916505762094,4.272690753205461,0.4052134192529795,5
queue-CDT300,Queue-CDT300,36,422.0,36.3318042491699,4.2558971794459435,0.40269607434087146,5
queue-CDT300,Queue-CDT300,37,420.0,37.416573867739416,4.222491809991813,0.42374429395428076,5
queue-CDT300,Queue-CDT300,38,416.0,36.46916505762094,4.195651059466852,0.4177369394185333,5
queue-CDT300,Queue-CDT300,39,414.0,36.46916505762094,4.168914075365693,0.43516811265925026,5
queue-CDT300,Queue-CDT300,40,430.0,27.386127875258307,4.351406671284972,0.29880659149539956,5
queue-CDT300,Queue-CDT300,41,444.0,33.61547262794323,4.488496559084799,0.346243603023212,5
queue-CDT300,Queue-CDT300,42,442.0,33.466401061363015,4.467893870835051,0.3462969867117017,5
queue-CDT300,Queue-CDT300,43,438.0,28.63564212655271,4.432634032634035,0.308743876598011,5
queue-CDT300,Queue-CDT300,44,430.0,25.495097567963928,4.3595748147472335,0.29700200024050194,5
queue-CDT300,Queue-CDT300,45,430.0,30.822070014844883,4.360885780885786,0.3346008469966477,5
queue-CDT300,Queue-CDT300,46,426.0,26.076809620810593,4.3248572261072304,0.2968740598297167,5
queue-CDT300,Queue-CDT300,47,424.0,26.076809620810597,4.297952837392495,0.3134149542305737,5
queue-CDT300,Queue-CDT300,48,426.0,28.809720581775867,4.32279220779221,0.319000603007544,5
queue-CDT300,Queue-CDT300,49,426.0,28.809720581775867,4.327337662337665,0.3178639745627737,5
queue-CDT300,Queue-CDT300,50,426.0,28.809720581775867,4.332150496562264,0.31528149382850884,5
queue-CDT300,Queue-CDT300,51,428.0,23.874672772626646,4.361783927647311,0.2527638295484159,5
