Autoscaler,Minute,MeanReplicaDelta,StdReplicaDelta,MinReplicaDelta,MaxReplicaDelta,Runs
hpa80-CDT120,19,1.525,1.407013681525521,0.25,3.75,5
hpa80-CDT120,20,0.875,0.9762812094883317,0.0,2.5,5
hpa80-CDT120,21,0.0,0.0,0.0,0.0,5
hpa80-CDT120,22,-0.5777777777777772,0.6365900671391649,-1.5,0.0,5
hpa80-CDT120,23,-1.1583333333333343,0.5961391988826478,-1.875,-0.625,5
hpa80-CDT120,24,-1.1972222222222215,0.6596418079646056,-1.8888888888888857,-0.375,5
hpa80-CDT120,25,-2.1777777777777785,0.7292923172162298,-3.3333333333333357,-1.6666666666666679,5
hpa80-CDT120,26,1.0317460317460316,0.7082916487667872,0.33333333333333215,2.2222222222222214,5
hpa80-CDT120,27,1.7293650793650799,0.9266792806392272,0.7083333333333357,2.6527777777777786,5
hpa80-CDT120,28,2.1138888888888885,1.92089911110962,0.125,5.0,5
hpa80-CDT120,29,0.6361111111111114,0.6684293825874006,0.0,1.5555555555555571,5
hpa80-CDT120,30,-0.11944444444444428,0.17224462219919429,-0.375,0.0,5
hpa80-CDT120,31,-1.3583333333333336,1.0288282919520575,-2.7777777777777786,0.0,5
hpa80-CDT120,32,-1.2166666666666663,0.8123278545081883,-2.2222222222222214,-0.23611111111111072,5
hpa80-CDT120,33,-3.1805555555555562,0.3366444345428011,-3.555555555555557,-2.7777777777777786,5
hpa80-CDT120,34,-0.41666666666666574,0.4539988646855886,-1.0,0.11111111111111427,5
hpa80-CDT120,35,3.155952380952381,0.3221002681874703,2.75,3.571428571428573,5
hpa80-CDT120,36,2.3107142857142855,0.23269165898945582,2.0,2.5,5
hpa80-CDT120,37,0.6805555555555557,0.9127652667026532,0.0,2.0,5
hpa80-CDT120,38,0.1444444444444443,0.22082896571501984,0.0,0.5,5
hpa80-CDT120,39,-0.39166666666666716,0.29988423692410954,-0.75,0.0,5
hpa80-CDT120,40,-1.8972222222222215,0.5044745769267582,-2.5,-1.25,5
hpa80-CDT120,41,-1.6388888888888886,0.8748346404596404,-3.0,-0.625,5
hpa80-CDT120,42,-2.0861111111111112,0.3422420629169207,-2.5,-1.75,5
hpa80-CDT120,43,0.7999999999999993,0.6665653858251617,0.19444444444444287,1.625,5
hpa80-CDT120,44,2.5555555555555562,0.7683581381068738,1.7083333333333357,3.5833333333333357,5
hpa80-CDT120,45,0.7777777777777771,1.0520776035780894,0.0,2.4166666666666643,5
