Timestamp,Service,HTTP_RPM,HTTP_LAT,gRPC_RPM,gRPC_LAT,CPU_ms,MEM_MiB,Pods
2026-03-30 14:56:47,reviews-v1,2240.0,66.1,0.0,0.0,16,93,1
2026-03-30 14:56:48,reviews-v2,1641.7,159.0,0.0,0.0,48,109,1
2026-03-30 14:56:49,reviews-v3,1648.6,152.7,0.0,0.0,30,109,1
2026-03-30 14:56:50,waypoint,0.0,0.0,0.0,0.0,197,131,1
2026-03-30 14:56:57,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,135,98,1
2026-03-30 14:56:58,details-v1,9741.7,162.8,0.0,0.0,145,43,1
2026-03-30 14:56:59,productpage-v1,9276.1,702.6,0.0,0.0,1031,1412,5
2026-03-30 14:57:00,ratings-v1,5482.9,52.3,0.0,0.0,21,25,1
2026-03-30 14:57:02,reviews-v1,2610.3,69.2,0.0,0.0,14,93,1
2026-03-30 14:57:03,reviews-v2,1890.3,168.5,0.0,0.0,42,109,1
2026-03-30 14:57:04,reviews-v3,1816.6,172.4,0.0,0.0,28,111,1
2026-03-30 14:57:05,waypoint,0.0,0.0,0.0,0.0,213,131,1
2026-03-30 14:57:12,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,127,98,1
2026-03-30 14:57:13,details-v1,10545.1,192.3,0.0,0.0,148,43,1
2026-03-30 14:57:15,productpage-v1,10552.6,668.4,0.0,0.0,1004,1411,5
2026-03-30 14:57:16,ratings-v1,5838.9,55.9,0.0,0.0,19,25,1
2026-03-30 14:57:17,reviews-v1,2838.3,72.1,0.0,0.0,14,93,1
2026-03-30 14:57:18,reviews-v2,1968.6,178.6,0.0,0.0,44,108,1
2026-03-30 14:57:20,reviews-v3,1790.3,199.3,0.0,0.0,30,110,1
2026-03-30 14:57:22,waypoint,0.0,0.0,0.0,0.0,213,131,1
2026-03-30 14:57:28,bookinfo-gateway-istio,0.0,0.0,0.0,0.0,120,98,1
2026-03-30 14:57:29,details-v1,11072.6,226.9,0.0,0.0,154,43,1
2026-03-30 14:57:30,productpage-v1,11243.4,599.6,0.0,0.0,1050,1413,5
2026-03-30 14:57:32,ratings-v1,6183.5,66.2,0.0,0.0,20,25,1
2026-03-30 14:57:33,reviews-v1,3082.0,76.5,0.0,0.0,16,93,1
2026-03-30 14:57:34,reviews-v2,2089.3,193.1,0.0,0.0,46,109,1
2026-03-30 14:57:35,reviews-v3,1799.6,231.4,0.0,0.0,29,110,1
