Timestamp,Service,HTTP_RPM,HTTP_LAT,gRPC_RPM,gRPC_LAT,CPU_ms,MEM_MiB,Pods,,,,,,,,,,,,,,,
03/03/2026 11:59,productpage-v1,778.9,19.9,0,0,73,273,1,,,,,,,,,,,,,,,
03/03/2026 11:59,ratings-v1,782.9,1.1,0,0,5,18,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v1,314.9,3.6,0,0,27,92,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v2,299.4,9.9,0,0,31,92,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v3,269.1,15.1,0,0,44,100,1,,,,,,,,,,,,,,,
03/03/2026 11:59,waypoint,0,0,0,0,39,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,bookinfo-gateway-istio,0,0,0,0,17,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,details-v1,918.9,3.1,0,0,14,15,1,,,,,,,,,,,,,,,
03/03/2026 11:59,productpage-v1,778.9,19.9,0,0,112,273,1,,,,,,,,,,,,,,,
03/03/2026 11:59,ratings-v1,885.1,1.2,0,0,5,18,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v1,373.1,4.2,0,0,30,90,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v2,340,11.5,0,0,41,95,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v3,300.6,15.5,0,0,62,107,1,,,,,,,,,,,,,,,
03/03/2026 11:59,waypoint,0,0,0,0,43,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,bookinfo-gateway-istio,0,0,0,0,17,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,details-v1,918.9,3.1,0,0,14,15,1,,,,,,,,,,,,,,,
03/03/2026 11:59,productpage-v1,889.7,21.4,0,0,113,273,1,,,,,,,,,,,,,,,
03/03/2026 11:59,ratings-v1,885.1,1.2,0,0,6,18,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v1,373.1,4.2,0,0,23,90,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v2,367.4,11.2,0,0,104,92,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v3,348,14.8,0,0,85,101,1,,,,,,,,,,,,,,,
03/03/2026 11:59,waypoint,0,0,0,0,43,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,bookinfo-gateway-istio,0,0,0,0,18,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,details-v1,1009.7,3,0,0,14,15,1,,,,,,,,,,,,,,,
03/03/2026 11:59,productpage-v1,977.1,20.9,0,0,113,273,1,,,,,,,,,,,,,,,
03/03/2026 11:59,ratings-v1,1027.4,1.2,0,0,6,18,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v1,405.7,4.1,0,0,23,90,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v2,394.9,10.9,0,0,104,92,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v3,348,14.8,0,0,85,101,1,,,,,,,,,,,,,,,
03/03/2026 11:59,waypoint,0,0,0,0,43,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,bookinfo-gateway-istio,0,0,0,0,18,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,details-v1,1058.9,3,0,0,12,15,1,,,,,,,,,,,,,,,
03/03/2026 11:59,productpage-v1,977.1,20.9,0,0,105,274,1,,,,,,,,,,,,,,,
03/03/2026 11:59,ratings-v1,1099.4,1.2,0,0,7,18,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v1,421.1,4,0,0,18,90,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v2,413.7,10.5,0,0,40,95,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v3,385.7,14.3,0,0,42,101,1,,,,,,,,,,,,,,,
03/03/2026 11:59,waypoint,0,0,0,0,42,42,1,,,,,,,,,,,,,,,
03/03/2026 11:59,bookinfo-gateway-istio,0,0,0,0,18,37,1,,,,,,,,,,,,,,,
03/03/2026 11:59,details-v1,1058.9,3,0,0,12,15,1,,,,,,,,,,,,,,,
03/03/2026 11:59,productpage-v1,1057.7,20.4,0,0,105,274,1,,,,,,,,,,,,,,,
03/03/2026 11:59,ratings-v1,1099.4,1.2,0,0,7,18,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v1,421.1,4,0,0,18,90,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v2,413.7,10.5,0,0,36,93,1,,,,,,,,,,,,,,,
03/03/2026 11:59,reviews-v3,385.7,14.3,0,0,41,101,1,,,,,,,,,,,,,,,
03/03/2026 12:00,waypoint,0,0,0,0,50,42,1,,,,,,,,,,,,,,,
03/03/2026 12:00,bookinfo-gateway-istio,0,0,0,0,20,37,1,,,,,,,,,,,,,,,
03/03/2026 12:00,details-v1,1191.4,3,0,0,15,15,1,,,,,,,,,,,,,,,
03/03/2026 12:00,productpage-v1,1162.3,19.7,0,0,120,274,1,,,,,,,,,,,,,,,
03/03/2026 12:00,ratings-v1,1251.4,1.2,0,0,11,18,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v1,463.4,4,0,0,24,90,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v2,469.1,9.9,0,0,36,93,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v3,437.7,13.4,0,0,41,101,1,,,,,,,,,,,,,,,
03/03/2026 12:00,waypoint,0,0,0,0,50,42,1,,,,,,,,,,,,,,,
03/03/2026 12:00,bookinfo-gateway-istio,0,0,0,0,24,37,1,,,,,,,,,,,,,,,
03/03/2026 12:00,details-v1,1272.6,6.3,0,0,17,16,1,,,,,,,,,,,,,,,
03/03/2026 12:00,productpage-v1,1162.3,19.7,0,0,146,274,1,,,,,,,,,,,,,,,
03/03/2026 12:00,ratings-v1,1338.3,2.8,0,0,9,18,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v1,533.1,9.2,0,0,30,90,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v2,494.3,19.2,0,0,50,93,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v3,475.4,23,0,0,52,101,1,,,,,,,,,,,,,,,
03/03/2026 12:00,waypoint,0,0,0,0,60,42,1,,,,,,,,,,,,,,,
03/03/2026 12:00,bookinfo-gateway-istio,0,0,0,0,24,37,1,,,,,,,,,,,,,,,
03/03/2026 12:00,details-v1,1272.6,6.3,0,0,17,16,1,,,,,,,,,,,,,,,
03/03/2026 12:00,productpage-v1,1271.4,32.7,0,0,147,274,1,,,,,,,,,,,,,,,
03/03/2026 12:00,ratings-v1,1338.3,2.8,0,0,7,18,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v1,548,9,0,0,30,90,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v2,536,18.5,0,0,53,95,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v3,516.6,22.1,0,0,56,104,1,,,,,,,,,,,,,,,
03/03/2026 12:00,waypoint,0,0,0,0,56,42,1,,,,,,,,,,,,,,,
03/03/2026 12:00,bookinfo-gateway-istio,0,0,0,0,23,37,1,,,,,,,,,,,,,,,
03/03/2026 12:00,details-v1,1381.1,6,0,0,19,16,1,,,,,,,,,,,,,,,
03/03/2026 12:00,productpage-v1,1357.1,31.7,0,0,147,274,1,,,,,,,,,,,,,,,
03/03/2026 12:00,ratings-v1,1466.3,2.7,0,0,7,18,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v1,564,8.9,0,0,30,90,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v2,536,18.5,0,0,53,95,1,,,,,,,,,,,,,,,
03/03/2026 12:00,reviews-v3,516.6,22.1,0,0,56,104,1,,,,,,,,,,,,,,,
03/03/2026 12:00,waypoint,0,0,0,0,56,42,1,,,,,,,,,,,,,,,
