app,experiment_name,workload_name,workload_csv,autoscaler_name,deployment_scope,setup_ok,ready_for_load,monitor_log_file,locust_stats_csv,locust_failures_csv,locust_exceptions_csv,locust_stats_history_csv,cleanup_ok,status,error_message
onlineboutique,onlineboutique_stepped-500-up_cpu80_subset,stepped-500-up,load/online-boutique/workloads/stepped-500-up.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_stepped-500-up_default_cpu_default_5s_20260806_183625.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu80_subset_20260806_193625_stats.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu80_subset_20260806_193625_failures.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu80_subset_20260806_193625_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_stepped-500-up_cpu80_subset_20260806_193625_stats_history.csv,True,success,
onlineboutique,onlineboutique_linear-200_cpu80_subset,linear-200,load/online-boutique/workloads/linear-200.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",,,,,,,,False,failed,name 'LATENCY_PERCENTILE' is not defined
onlineboutique,onlineboutique_linear-200_cpu80_subset,linear-200,load/online-boutique/workloads/linear-200.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",,,,,,,,False,failed,name 'LATENCY_PERCENTILE' is not defined
onlineboutique,onlineboutique_linear-200_cpu80_subset,linear-200,load/online-boutique/workloads/linear-200.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_linear-200_default_cpu_default_5s_20260806_184302.csv,tmp/locust/onlineboutique/onlineboutique_linear-200_cpu80_subset_20260806_194302_stats.csv,tmp/locust/onlineboutique/onlineboutique_linear-200_cpu80_subset_20260806_194302_failures.csv,tmp/locust/onlineboutique/onlineboutique_linear-200_cpu80_subset_20260806_194302_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_linear-200_cpu80_subset_20260806_194302_stats_history.csv,True,success,
onlineboutique,onlineboutique_wiki_load_pbscaler_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,pbscaler,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",,,,,,,,False,failed,"HTTPConnectionPool(host='193.225.251.227', port=30971): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='193.225.251.227', port=30971): Failed to establish a new connection: [Errno 61] Connection refused""))"
onlineboutique,onlineboutique_wiki_load_pbscaler_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,pbscaler,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_pbscaler_default_5s_20260806_194655.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_204655_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_204655_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_204655_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_pbscaler_subset_20260806_204655_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_wiki_load_das_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,das,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_das_default_5s_20260806_202339.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_212339_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_212339_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_212339_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_das_subset_20260806_212339_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_wiki_load_cpu50_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_default_cpu_default_5s_20260806_210003.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu50_subset_20260806_220003_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu50_subset_20260806_220003_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu50_subset_20260806_220003_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu50_subset_20260806_220003_stats_history.csv,True,completed_with_failures,Locust exit code 1
onlineboutique,onlineboutique_wiki_load_cpu80_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,default_cpu,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",True,True,/app/logs/onlineboutique_mesh_metrics_onlineboutique_wiki_load_default_cpu_default_5s_20260806_213627.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_223627_stats.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_223627_failures.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_223627_exceptions.csv,tmp/locust/onlineboutique/onlineboutique_wiki_load_cpu80_subset_20260806_223627_stats_history.csv,True,success,
onlineboutique,onlineboutique_wiki_load_pbscaler_subset,wiki_load,load/online-boutique/workloads/wiki_load.csv,pbscaler,"frontend,cartservice,checkoutservice,currencyservice,emailservice,paymentservice,productcatalogservice,recommendationservice,shippingservice,adservice",,,,,,,,False,failed,"HTTPConnectionPool(host='193.225.251.227', port=30686): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='193.225.251.227', port=30686): Failed to establish a new connection: [Errno 61] Connection refused""))"
