experiment_name,request_rate,workload_csv,hpa_mode,cpu_target,setup_ok,ready_for_load,monitor_log_file,locust_stats_csv,locust_failures_csv,locust_exceptions_csv,locust_stats_history_csv,cleanup_ok,status,error_message
bookinfo_rpswiki_load_hpa_none,wiki_load,load/book-info/workloads/wiki_load.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpanone_default_5s_20260401_195747.csv,tmp/locust/bookinfo_rpswiki_load_hpa_none_stats.csv,tmp/locust/bookinfo_rpswiki_load_hpa_none_failures.csv,tmp/locust/bookinfo_rpswiki_load_hpa_none_exceptions.csv,tmp/locust/bookinfo_rpswiki_load_hpa_none_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_rpswiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu50,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,50,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu80,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpacpu20_default_5s_20260401_222030.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu20_stats.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu20_failures.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu20_exceptions.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu20_stats_history.csv,False,failed,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
bookinfo_rpswiki_load_hpa_cpu50,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,50,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu80,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_none,wiki_load,load/book-info/workloads/wiki_load.csv,none,,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu50,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,50,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu50,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,50,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpacpu50_default_5s_20260402_094413.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu50_stats.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu50_failures.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu50_exceptions.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu50_stats_history.csv,False,failed,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
bookinfo_rpswiki_load_hpa_cpu80,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_none,wiki_load,load/book-info/workloads/wiki_load.csv,none,,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu80,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,80,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_rpswiki_load_hpa_cpu80,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,80,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpacpu80_default_5s_20260402_105824.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu80_stats.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu80_failures.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu80_exceptions.csv,tmp/locust/bookinfo_rpswiki_load_hpa_cpu80_stats_history.csv,False,failed,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
bookinfo_rpswiki_load_hpa_none,wiki_load,load/book-info/workloads/wiki_load.csv,none,,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.169.241.77', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_wiki_load_hpa_cpu80,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,80,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpacpu80_default_5s_20260402_122427.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu80_20260402_143428_stats.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu80_20260402_143428_failures.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu80_20260402_143428_exceptions.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu80_20260402_143428_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_wiki_load_hpa_none,wiki_load,load/book-info/workloads/wiki_load.csv,none,,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpanone_default_5s_20260402_133502.csv,tmp/locust/bookinfo_wiki_load_hpa_none_20260402_154502_stats.csv,tmp/locust/bookinfo_wiki_load_hpa_none_20260402_154502_failures.csv,tmp/locust/bookinfo_wiki_load_hpa_none_20260402_154502_exceptions.csv,tmp/locust/bookinfo_wiki_load_hpa_none_20260402_154502_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,,,,,,,,True,failed,409 Client Error: Conflict for url: http://18.169.241.77:8000/experiment/setup
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpacpu20_default_5s_20260402_220652.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260402_230852_stats.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260402_230852_failures.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260402_230852_exceptions.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260402_230852_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpacpu20_default_5s_20260407_113548.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260407_123751_stats.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260407_123751_failures.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260407_123751_exceptions.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260407_123751_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpacpu20_default_5s_20260408_161121.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260408_171322_stats.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260408_171322_failures.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260408_171322_exceptions.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260408_171322_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,,,,,,,,False,failed,"HTTPConnectionPool(host='18.169.241.77', port=8000): Max retries exceeded with url: /experiment/setup (Caused by ConnectTimeoutError(<HTTPConnection(host='18.169.241.77', port=8000) at 0x10602c2f0>, 'Connection to 18.169.241.77 timed out. (connect timeout=60)'))"
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,,,,,,,,True,failed,409 Client Error: Conflict for url: http://18.175.63.64:8000/experiment/setup
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,,,,,,,,False,failed,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,,,,,,,,False,failed,"HTTPConnectionPool(host='18.175.63.64', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.175.63.64', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,,,,,,,,False,failed,"HTTPConnectionPool(host='18.175.63.64', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.175.63.64', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,,,,,,,,False,failed,"HTTPConnectionPool(host='18.175.63.64', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.175.63.64', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,,,,,,,,False,failed,"HTTPConnectionPool(host='18.175.63.64', port=8000): Max retries exceeded with url: /experiment/setup (Caused by NewConnectionError(""HTTPConnection(host='18.175.63.64', port=8000): Failed to establish a new connection: [Errno 61] Connection refused""))"
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_hpacpu20_default_5s_20260413_124449.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260413_134551_stats.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260413_134551_failures.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260413_134551_exceptions.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260413_134551_stats_history.csv,True,completed_with_failures,Locust exit code 1
bookinfo_wiki_load_hpa_cpu20,wiki_load,load/book-info/workloads/wiki_load.csv,cpu,20,True,True,/app/logs/mesh_metrics_bookinfo_rpswiki_load_default_cpu_default_5s_20260413_130256.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260413_140358_stats.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260413_140358_failures.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260413_140358_exceptions.csv,tmp/locust/bookinfo_wiki_load_hpa_cpu20_20260413_140358_stats_history.csv,True,completed_with_failures,Locust exit code 1
