Minute,Timestamp,Total Request Count,SelectedLatency_ms,CumulativeSLOViolationRate_percent,Method,DisplayName,Run,File
71,1788325111,421410,330.0,1.9600000000000062,queue-CDT120,Queue-CDT120,1,queue-CDT120-1_stats_history.csv
0,1788325304,246,320.0,2.300000000000002,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
1,1788325364,464,320.0,1.750000000000007,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
2,1788325424,1002,360.0,3.0909090909090886,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
3,1788325484,2029,550.0,6.470588235294117,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
4,1788325544,3647,520.0,5.625000000000002,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
5,1788325604,5805,520.0,5.588235294117649,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
6,1788325664,8552,460.0,4.600000000000004,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
7,1788325724,11888,400.0,3.6363636363636376,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
8,1788325784,15670,380.0,3.285714285714292,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
9,1788325844,20100,370.0,3.4399999999999986,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
10,1788325904,25099,350.0,3.200000000000003,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
11,1788325964,30480,360.0,3.384615384615386,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
12,1788326024,36750,350.0,3.200000000000003,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
13,1788326084,41704,350.0,3.3333333333333326,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
14,1788326144,46584,340.0,3.080000000000005,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
15,1788326204,52487,340.0,2.9130434782608683,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
16,1788326264,60142,340.0,3.1538461538461515,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
17,1788326324,69534,380.0,3.7142857142857144,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
18,1788326384,79039,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
19,1788326444,87472,380.0,3.5600000000000076,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
20,1788326504,94475,370.0,3.4399999999999986,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
21,1788326564,100430,370.0,3.3750000000000058,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
22,1788326624,104997,360.0,3.2499999999999973,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
23,1788326684,110202,360.0,3.2499999999999973,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
24,1788326744,116412,350.0,3.125,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
25,1788326804,125118,360.0,3.2499999999999973,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
26,1788326864,134594,360.0,3.384615384615386,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
27,1788326924,143394,360.0,3.3200000000000007,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
28,1788326984,150857,360.0,3.3200000000000007,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
29,1788327044,157284,360.0,3.3200000000000007,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
30,1788327104,162398,360.0,3.2499999999999973,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
31,1788327164,166756,360.0,3.2499999999999973,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
32,1788327224,172259,360.0,3.2499999999999973,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
33,1788327284,179768,360.0,3.3200000000000007,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
34,1788327344,189167,360.0,3.3200000000000007,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
35,1788327404,198517,370.0,3.4399999999999986,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
36,1788327464,206913,370.0,3.3750000000000058,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
37,1788327524,213698,370.0,3.304347826086962,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
38,1788327584,219590,360.0,3.1739130434782603,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
39,1788327644,224184,360.0,3.0909090909090886,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
40,1788327704,229215,360.0,3.0909090909090886,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
41,1788327764,235254,360.0,3.0000000000000027,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
42,1788327824,243700,350.0,2.857142857142858,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
43,1788327884,253091,350.0,2.857142857142858,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
44,1788327944,262082,350.0,2.750000000000008,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
45,1788328004,269403,350.0,2.750000000000008,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
46,1788328064,275692,350.0,2.631578947368418,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
47,1788328124,280709,350.0,2.500000000000002,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
48,1788328184,285069,350.0,2.500000000000002,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
49,1788328244,290373,340.0,2.3333333333333317,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
50,1788328304,296960,340.0,2.3333333333333317,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
51,1788328364,305252,340.0,2.3333333333333317,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
52,1788328424,313157,340.0,2.3333333333333317,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
53,1788328484,320468,340.0,2.176470588235291,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
54,1788328544,325682,340.0,2.176470588235291,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
55,1788328604,330172,340.0,2.176470588235291,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
56,1788328664,333904,340.0,2.0000000000000018,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
57,1788328724,337580,340.0,2.0000000000000018,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
58,1788328784,342505,340.0,2.0000000000000018,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
59,1788328844,348393,330.0,2.0000000000000018,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
60,1788328904,355369,330.0,2.0000000000000018,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
61,1788328964,362227,330.0,2.0000000000000018,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
62,1788329024,368215,330.0,2.0000000000000018,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
63,1788329084,373082,330.0,1.9629629629629664,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
64,1788329144,377360,330.0,1.9629629629629664,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
65,1788329204,381011,330.0,1.9629629629629664,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
66,1788329264,385669,330.0,1.961538461538459,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
67,1788329324,391395,330.0,1.9629629629629664,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
68,1788329384,398686,330.0,1.9629629629629664,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
69,1788329444,407011,330.0,2.0000000000000018,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
70,1788329504,414838,330.0,2.1666666666666723,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
71,1788329562,421030,330.0,2.0000000000000018,queue-CDT120,Queue-CDT120,2,queue-CDT120-2_stats_history.csv
0,1788329760,230,320.0,2.5454545454545507,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
1,1788329820,462,300.0,1.6666666666666718,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
2,1788329880,980,380.0,2.8823529411764692,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
3,1788329940,2030,540.0,6.666666666666665,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
4,1788330000,3651,550.0,6.923076923076921,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
5,1788330060,5807,540.0,6.538461538461537,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
6,1788330120,8358,630.0,8.823529411764708,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
7,1788330180,11457,630.0,8.250000000000002,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
8,1788330240,15310,550.0,6.470588235294117,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
9,1788330300,19677,490.0,4.892857142857143,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
10,1788330360,24636,450.0,4.42307692307693,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
11,1788330420,30105,430.0,4.192307692307695,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
12,1788330480,36230,430.0,4.250000000000009,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
13,1788330540,41247,420.0,4.11111111111111,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
14,1788330600,46107,400.0,3.8461538461538547,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
15,1788330660,51826,390.0,3.6800000000000055,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
16,1788330720,59681,400.0,3.8461538461538547,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
17,1788330780,69138,410.0,3.9200000000000013,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
18,1788330840,78507,420.0,4.076923076923078,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
19,1788330900,86845,420.0,4.076923076923078,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
20,1788330960,93608,410.0,3.9200000000000013,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
21,1788331020,98855,410.0,4.0357142857142865,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
22,1788331080,103047,410.0,4.068965517241385,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
23,1788331140,108419,400.0,3.928571428571437,queue-CDT120,Queue-CDT120,3,queue-CDT120-3_stats_history.csv
