Autoscaler,Minute,MeanReplicaDelta,StdReplicaDelta,MinReplicaDelta,MaxReplicaDelta,Runs
queue-CDT300,5,1.8250000000000004,0.6561619231468365,0.9821428571428577,2.678571428571429,5
queue-CDT300,6,1.9464285714285712,0.7046221306053163,0.875,2.571428571428571,5
queue-CDT300,7,0.8107142857142854,0.26833291080374105,0.42857142857142705,1.0,5
queue-CDT300,8,1.3214285714285716,0.4766552791085401,0.571428571428573,1.75,5
queue-CDT300,9,1.5468253968253969,0.7651280919575134,0.9464285714285694,2.875,5
queue-CDT300,10,0.7317460317460324,0.38955239801429853,0.4285714285714306,1.2857142857142883,5
queue-CDT300,11,0.8214285714285708,0.511973970958266,0.0,1.25,5
queue-CDT300,12,0.767857142857143,0.528824746248602,0.14285714285714235,1.6071428571428577,5
queue-CDT300,13,0.5642857142857146,0.4576448137040384,0.0,1.1428571428571423,5
queue-CDT300,14,0.4357142857142854,0.34293153954736594,0.0,0.75,5
queue-CDT300,15,0.0,0.0,0.0,0.0,5
queue-CDT300,16,0.0,0.0,0.0,0.0,5
queue-CDT300,17,0.6785714285714285,0.32142857142857145,0.25,1.0,5
queue-CDT300,18,3.4261904761904765,0.5954999424062917,2.75,4.166666666666668,5
queue-CDT300,19,2.6999999999999993,0.7199379539907385,1.5,3.452380952380949,5
queue-CDT300,20,0.7952380952380956,0.8423996606175816,0.0,2.0,5
queue-CDT300,21,0.0,0.0,0.0,0.0,5
queue-CDT300,22,0.0,0.0,0.0,0.0,5
queue-CDT300,23,0.0,0.0,0.0,0.0,5
queue-CDT300,24,0.0,0.0,0.0,0.0,5
queue-CDT300,25,-0.14285714285714307,0.3194382824999704,-0.7142857142857153,0.0,5
queue-CDT300,26,-1.5047619047619052,0.9284798489638696,-3.119047619047617,-0.8333333333333357,5
queue-CDT300,27,0.11904761904761899,1.1874962704321412,-0.6666666666666643,2.119047619047617,5
queue-CDT300,28,0.5285714285714291,0.3300862252499692,0.0,0.8333333333333357,5
queue-CDT300,29,0.0,0.0,0.0,0.0,5
queue-CDT300,30,0.0,0.0,0.0,0.0,5
queue-CDT300,31,0.0,0.0,0.0,0.0,5
queue-CDT300,32,0.0,0.0,0.0,0.0,5
queue-CDT300,33,0.0,0.0,0.0,0.0,5
queue-CDT300,34,-0.5428571428571424,0.6259686371487609,-1.2857142857142847,0.0,5
queue-CDT300,35,-0.6190476190476197,0.6698478522207229,-1.3809523809523796,0.1666666666666643,5
queue-CDT300,36,1.261904761904762,0.25532869749437076,1.0,1.6666666666666643,5
queue-CDT300,37,0.3,0.4472135954999579,0.0,1.0,5
queue-CDT300,38,0.0,0.0,0.0,0.0,5
queue-CDT300,39,0.0,0.0,0.0,0.0,5
queue-CDT300,40,0.0,0.0,0.0,0.0,5
queue-CDT300,41,0.0,0.0,0.0,0.0,5
queue-CDT300,42,0.0,0.0,0.0,0.0,5
queue-CDT300,43,-1.066666666666667,0.8680522675674688,-2.0,0.0,5
queue-CDT300,44,-0.05238095238095184,0.7119804068745437,-0.8333333333333286,0.7142857142857153,5
queue-CDT300,45,0.9666666666666657,0.18257418583505566,0.6666666666666643,1.1666666666666643,5
queue-CDT300,46,0.15238095238095326,0.21135562877306924,0.0,0.4285714285714306,5
queue-CDT300,47,0.0,0.0,0.0,0.0,5
queue-CDT300,48,0.0,0.0,0.0,0.0,5
queue-CDT300,49,0.0,0.0,0.0,0.0,5
queue-CDT300,50,0.0,0.0,0.0,0.0,5
queue-CDT300,51,-0.9142857142857139,0.7395530917454164,-2.0,0.0,5
queue-CDT300,52,-1.6750000000000007,0.8362788081124389,-2.857142857142861,-0.6071428571428577,5
queue-CDT300,53,1.155952380952381,0.29792841064336384,0.75,1.4583333333333321,5
queue-CDT300,54,0.03333333333333357,0.07453559924999352,0.0,0.16666666666666785,5
queue-CDT300,55,0.0,0.0,0.0,0.0,5
queue-CDT300,56,0.0,0.0,0.0,0.0,5
queue-CDT300,57,0.0,0.0,0.0,0.0,5
queue-CDT300,58,0.0,0.0,0.0,0.0,5
queue-CDT300,59,0.0,0.0,0.0,0.0,5
queue-CDT300,60,-2.120238095238095,0.7934593022953934,-3.333333333333332,-1.1428571428571423,5
queue-CDT300,61,-1.1297619047619059,0.7162225724190996,-2.0952380952380985,-0.26785714285714235,5
queue-CDT300,62,1.0500000000000007,0.5920390224314894,0.14285714285714235,1.5,5
queue-CDT300,63,0.0,0.0,0.0,0.0,5
queue-CDT300,64,0.0,0.0,0.0,0.0,5
queue-CDT300,65,0.0,0.0,0.0,0.0,5
queue-CDT300,66,0.0,0.0,0.0,0.0,5
queue-CDT300,67,0.0,0.0,0.0,0.0,5
queue-CDT300,68,0.0,0.0,0.0,0.0,5
queue-CDT300,69,0.06666666666666643,0.14907119849998546,0.0,0.33333333333333215,5
queue-CDT300,70,0.5797619047619044,0.588226561393095,0.0,1.2857142857142847,5
queue-CDT300,71,0.3535714285714292,0.3389095659280677,0.0,0.7142857142857153,5
hpa80-CDT120,1,0.0,0.0,0.0,0.0,5
hpa80-CDT120,2,0.0,0.0,0.0,0.0,5
hpa80-CDT120,3,0.2083333333333332,0.09212846639876139,0.11111111111111072,0.3333333333333339,5
hpa80-CDT120,4,1.8916666666666668,0.2850438562747846,1.6527777777777786,2.2777777777777786,5
hpa80-CDT120,5,3.0916666666666663,0.5225065715222631,2.4027777777777786,3.625,5
hpa80-CDT120,6,2.3722222222222222,0.50731531335107,1.8194444444444429,3.041666666666668,5
hpa80-CDT120,7,1.5583333333333336,0.3992179855667818,1.1805555555555571,2.2222222222222214,5
hpa80-CDT120,8,0.6238888888888894,0.5414764623317062,0.0,1.2638888888888893,5
hpa80-CDT120,9,1.0455555555555556,0.3809942726636059,0.6666666666666643,1.6666666666666679,5
hpa80-CDT120,10,2.2999999999999994,1.1603084014259968,0.4861111111111107,3.5555555555555536,5
hpa80-CDT120,11,1.4722222222222228,0.3243880753924076,1.0,1.7777777777777786,5
hpa80-CDT120,12,0.3361111111111107,0.3149441455477696,0.0,0.625,5
hpa80-CDT120,13,0.24166666666666642,0.228977194400568,0.0,0.5,5
hpa80-CDT120,14,0.4583333333333336,0.44292274219727723,0.0,1.0,5
hpa80-CDT120,15,0.0,0.0,0.0,0.0,5
hpa80-CDT120,16,0.0,0.0,0.0,0.0,5
hpa80-CDT120,17,1.3666666666666665,1.2271680235504394,0.44444444444444287,3.5,5
hpa80-CDT120,18,3.0333333333333337,0.4647696230059968,2.4861111111111107,3.555555555555557,5
hpa80-CDT120,19,1.525,1.407013681525521,0.25,3.75,5
hpa80-CDT120,20,0.875,0.9762812094883317,0.0,2.5,5
hpa80-CDT120,21,0.0,0.0,0.0,0.0,5
hpa80-CDT120,22,-0.5777777777777772,0.6365900671391649,-1.5,0.0,5
hpa80-CDT120,23,-1.1583333333333343,0.5961391988826478,-1.875,-0.625,5
hpa80-CDT120,24,-1.1972222222222215,0.6596418079646056,-1.8888888888888857,-0.375,5
hpa80-CDT120,25,-2.1777777777777785,0.7292923172162298,-3.3333333333333357,-1.6666666666666679,5
hpa80-CDT120,26,1.0317460317460316,0.7082916487667872,0.33333333333333215,2.2222222222222214,5
hpa80-CDT120,27,1.7293650793650799,0.9266792806392272,0.7083333333333357,2.6527777777777786,5
hpa80-CDT120,28,2.1138888888888885,1.92089911110962,0.125,5.0,5
hpa80-CDT120,29,0.6361111111111114,0.6684293825874006,0.0,1.5555555555555571,5
hpa80-CDT120,30,-0.11944444444444428,0.17224462219919429,-0.375,0.0,5
hpa80-CDT120,31,-1.3583333333333336,1.0288282919520575,-2.7777777777777786,0.0,5
hpa80-CDT120,32,-1.2166666666666663,0.8123278545081883,-2.2222222222222214,-0.23611111111111072,5
hpa80-CDT120,33,-3.1805555555555562,0.3366444345428011,-3.555555555555557,-2.7777777777777786,5
hpa80-CDT120,34,-0.41666666666666574,0.4539988646855886,-1.0,0.11111111111111427,5
hpa80-CDT120,35,3.155952380952381,0.3221002681874703,2.75,3.571428571428573,5
hpa80-CDT120,36,2.3107142857142855,0.23269165898945582,2.0,2.5,5
hpa80-CDT120,37,0.6805555555555557,0.9127652667026532,0.0,2.0,5
hpa80-CDT120,38,0.1444444444444443,0.22082896571501984,0.0,0.5,5
hpa80-CDT120,39,-0.39166666666666716,0.29988423692410954,-0.75,0.0,5
hpa80-CDT120,40,-1.8972222222222215,0.5044745769267582,-2.5,-1.25,5
hpa80-CDT120,41,-1.6388888888888886,0.8748346404596404,-3.0,-0.625,5
hpa80-CDT120,42,-2.0861111111111112,0.3422420629169207,-2.5,-1.75,5
hpa80-CDT120,43,0.7999999999999993,0.6665653858251617,0.19444444444444287,1.625,5
hpa80-CDT120,44,2.5555555555555562,0.7683581381068738,1.7083333333333357,3.5833333333333357,5
hpa80-CDT120,45,0.7777777777777771,1.0520776035780894,0.0,2.4166666666666643,5
hpa80-CDT120,46,0.2805555555555557,0.3219107690181811,0.0,0.7777777777777786,5
hpa80-CDT120,47,0.0,0.0,0.0,0.0,5
hpa80-CDT120,48,-0.9777777777777779,0.67311694359382,-2.0,-0.44444444444444287,5
hpa80-CDT120,49,-0.9749999999999993,0.34252376686033975,-1.3194444444444429,-0.5555555555555571,5
hpa80-CDT120,50,-2.1777777777777785,1.0630853507423392,-3.5,-0.9027777777777786,5
hpa80-CDT120,51,-0.8194444444444443,0.3677278415242701,-1.375,-0.5,5
hpa80-CDT120,52,1.0583333333333336,0.6703025850730067,0.25,2.0,5
hpa80-CDT120,53,2.0416666666666665,0.6236095644623231,1.5,3.083333333333332,5
